Ronda,Cliente_0,Cliente_1,Cliente_2,Cliente_3,Cliente_4
1,0.5248144865036011,0.522951066493988,0.5272104144096375,0.5268841981887817,0.5249148607254028
2,0.3965401351451874,0.40279722213745117,0.3974458575248718,0.3982197940349579,0.40376096963882446
3,0.39145851135253906,0.3966760039329529,0.39727750420570374,0.38998860120773315,0.4011365473270416
4,0.40649813413619995,0.41031283140182495,0.39589157700538635,0.394408255815506,0.39912793040275574
5,0.38000425696372986,0.38370752334594727,0.38362205028533936,0.37621068954467773,0.38167282938957214
