ronda,t_actual_mediana,t_simulado_pqc,t_simulado_he
1,4.79486160002125,4.79486160002125,88.70493960039312
2,3.33264099972439,3.33264099972439,61.653858494901215
3,2.3886802000561147,2.3886802000561147,44.19058370103812
4,3.767984599835472,3.767984599835472,69.70771509695624
5,2.2689315997922677,2.2689315997922677,41.97523459615695
